YEAR,WEEK,USER,TEAM,OPPONENT,RESULT,TEAM_SCORE,OPP_SCORE,off_explosive_index,off_explosive_label,off_rolling_3,off_trend_vs_prev,def_steel_curtain_index,def_steel_curtain_label,def_rolling_3,def_trend_vs_prev,quick_strike_flag,aerial_nuke_flag,ground_blast_flag,sputtering_offense_flag,steel_curtain_flag,clamp_job_flag,wet_paper_bag_flag,shredded_by_air_flag,gashed_on_ground_flag
2042,1,Devin,Bowling Green,Miami,W,56,28,100.0,Detonation Machine,100.0,,3.28,Wet Paper Bag,3.28,,False,True,False,False,False,False,False,False,False
2042,1,Doug,Florida,Washington,W,56,21,100.0,Detonation Machine,100.0,,21.73,Wet Paper Bag,21.73,,False,False,True,False,False,False,False,False,True
2042,1,Josh,USF,Hammond,W,77,24,100.0,Detonation Machine,100.0,,40.87,Wet Paper Bag,40.87,,True,True,True,False,False,False,False,True,False
2042,1,Mike,San Jose State,Stanford,W,71,61,100.0,Detonation Machine,100.0,,0.0,Wet Paper Bag,0.0,,True,True,False,False,False,False,True,False,False
2042,1,Nick,Florida State,North Carolina,W,56,35,94.01,Detonation Machine,94.01,,27.77,Wet Paper Bag,27.77,,False,False,False,False,False,False,True,False,False
2042,1,Noah,Texas Tech,Georgia Tech,W,48,10,100.0,Detonation Machine,100.0,,56.42,Bend Don’t Break,56.42,,True,False,True,False,False,False,False,False,False
2042,2,Devin,Bowling Green,Penn State,W,49,21,97.41,Detonation Machine,98.7,-2.59,24.11,Wet Paper Bag,13.7,20.83,False,True,False,False,False,False,False,False,False
2042,2,Doug,Florida,NC State,W,43,26,80.58,Missile Battery,90.29,-19.42,49.83,Leaky,35.78,28.1,False,False,False,False,False,False,False,False,False
2042,2,Josh,USF,Arkansas,W,56,16,100.0,Detonation Machine,100.0,0.0,63.88,Bend Don’t Break,52.38,23.01,True,True,False,False,False,False,False,False,False
2042,2,Mike,San Jose State,Texas,W,38,37,80.24,Missile Battery,90.12,-19.76,12.2,Wet Paper Bag,6.1,12.2,False,False,False,False,False,False,True,False,False
2042,2,Nick,Florida State,Nebraska,L,21,43,50.69,Methodical,72.35,-43.32,27.68,Wet Paper Bag,27.72,-0.09,False,False,False,False,False,False,True,False,False
2042,2,Noah,Texas Tech,TCU,W,36,13,92.73,Detonation Machine,96.36,-7.27,96.35,Steel Curtain,76.38,39.93,True,False,True,False,True,True,False,False,False
2042,3,Devin,Bowling Green,Toledo,W,77,10,100.0,Detonation Machine,99.14,2.59,75.54,Clamp Unit,34.31,51.43,True,True,True,False,False,False,False,False,False
2042,3,Josh,USF,Oklahoma,W,49,0,100.0,Detonation Machine,100.0,0.0,88.51,Steel Curtain,64.42,24.63,True,False,False,False,True,False,False,False,False
2042,3,Mike,San Jose State,Auburn,W,34,19,85.68,Detonation Machine,88.64,5.44,32.07,Wet Paper Bag,14.76,19.87,False,False,False,False,False,False,False,False,False
2042,3,Noah,Texas Tech,Tennessee,W,52,10,100.0,Detonation Machine,97.58,7.27,74.4,Vice Grip,75.72,-21.95,True,False,True,False,False,False,False,False,False
2042,4,Devin,Bowling Green,Kentucky,W,69,10,100.0,Detonation Machine,99.14,0.0,72.11,Vice Grip,57.25,-3.43,True,True,False,False,False,False,False,False,False
2042,4,Doug,Florida,Texas,W,38,35,86.64,Detonation Machine,89.07,6.06,0.0,Wet Paper Bag,23.85,-49.83,False,False,False,False,False,False,True,True,False
2042,4,Josh,USF,San Jose State,L,23,28,92.65,Detonation Machine,97.55,-7.35,23.38,Wet Paper Bag,58.59,-65.13,False,False,False,False,False,False,False,True,False
2042,4,Mike,San Jose State,USF,W,28,23,72.78,Strike Force,79.57,-12.9,6.91,Wet Paper Bag,17.06,-25.16,False,True,False,False,False,False,False,False,False
2042,4,Nick,Florida State,South Carolina,W,56,19,100.0,Detonation Machine,81.57,49.31,97.49,Steel Curtain,50.98,69.81,False,False,True,False,True,True,False,False,False
2042,4,Noah,Texas Tech,Oregon,W,45,21,100.0,Detonation Machine,97.58,0.0,45.99,Leaky,72.25,-28.41,True,True,False,False,False,False,False,False,False
2042,5,Devin,Bowling Green,Florida,W,56,38,100.0,Detonation Machine,100.0,0.0,9.51,Wet Paper Bag,52.39,-62.6,True,True,True,False,False,False,True,False,True
2042,5,Doug,Florida,Bowling Green,L,38,56,91.83,Detonation Machine,86.35,5.19,0.0,Wet Paper Bag,16.61,0.0,True,False,True,False,False,False,True,True,True
2042,5,Mike,San Jose State,Washington,L,36,57,60.65,Capable,73.04,-12.13,3.55,Wet Paper Bag,14.18,-3.36,True,False,False,False,False,False,True,True,False
2042,5,Nick,Florida State,Auburn,L,35,47,88.76,Detonation Machine,79.82,-11.24,3.66,Wet Paper Bag,42.94,-93.83,True,False,False,False,False,False,True,False,False
2042,5,Noah,Texas Tech,USC,W,48,21,100.0,Detonation Machine,100.0,0.0,25.45,Wet Paper Bag,48.61,-20.54,True,True,False,False,False,False,False,False,False
2042,6,Devin,Bowling Green,Missouri,W,42,24,100.0,Detonation Machine,100.0,0.0,48.15,Leaky,43.26,38.64,True,True,False,False,False,False,False,False,False
2042,6,Doug,Florida,Oklahoma State,W,56,49,100.0,Detonation Machine,92.82,8.17,0.0,Wet Paper Bag,0.0,0.0,True,True,False,False,False,False,True,True,False
2042,6,Josh,USF,Indiana,W,77,14,100.0,Detonation Machine,97.55,7.35,39.24,Wet Paper Bag,50.38,15.86,False,True,True,False,False,False,False,False,True
2042,6,Mike,San Jose State,USC,W,52,35,100.0,Detonation Machine,77.81,39.35,0.0,Wet Paper Bag,3.49,-3.55,True,False,True,False,False,False,True,False,True
2042,6,Nick,Florida State,Georgia,W,63,53,100.0,Detonation Machine,96.25,11.24,9.86,Wet Paper Bag,37.0,6.2,True,True,False,False,False,False,True,True,False
2042,6,Noah,Texas Tech,Purdue,W,60,26,100.0,Detonation Machine,100.0,0.0,37.45,Wet Paper Bag,36.3,12.0,True,False,True,False,False,False,False,False,False
2042,7,Devin,Bowling Green,South Carolina,W,49,0,100.0,Detonation Machine,100.0,0.0,100.0,Steel Curtain,52.55,51.85,True,False,True,False,True,True,False,False,False
2042,7,Doug,Florida,Ole Miss,L,41,45,91.94,Detonation Machine,94.59,-8.06,0.0,Wet Paper Bag,0.0,0.0,False,False,False,False,False,False,True,True,False
2042,7,Josh,USF,Nebraska,W,56,31,100.0,Detonation Machine,97.55,0.0,12.45,Wet Paper Bag,25.02,-26.79,True,True,False,False,False,False,True,True,False
2042,7,Mike,San Jose State,Indiana,W,59,36,97.13,Detonation Machine,85.93,-2.87,41.7,Wet Paper Bag,15.08,41.7,True,True,False,False,False,False,True,False,False
2042,7,Nick,Florida State,Miami,W,21,14,44.11,Sparkless,77.62,-55.89,52.9,Leaky,22.14,43.04,False,False,False,True,False,False,False,False,False
2042,7,Noah,Texas Tech,Penn State,W,59,24,100.0,Detonation Machine,100.0,0.0,18.6,Wet Paper Bag,27.17,-18.85,False,True,False,False,False,False,False,False,False
2042,8,Devin,Bowling Green,Notre Dame,W,44,36,100.0,Detonation Machine,100.0,0.0,19.05,Wet Paper Bag,55.73,-80.95,True,False,False,False,False,False,True,True,False
2042,8,Doug,Florida,Tennessee,W,38,23,80.86,Missile Battery,90.93,-11.08,32.31,Wet Paper Bag,10.77,32.31,False,False,False,False,False,False,False,True,False
2042,8,Josh,USF,Michigan,W,52,14,100.0,Detonation Machine,100.0,0.0,36.79,Wet Paper Bag,29.49,24.34,True,True,False,False,False,False,False,False,False
2042,8,Mike,San Jose State,Texas Tech,L,31,35,86.32,Detonation Machine,94.48,-10.81,0.0,Wet Paper Bag,13.9,-41.7,False,False,False,False,False,False,True,False,False
2042,8,Nick,Florida State,Oklahoma,W,58,10,100.0,Detonation Machine,81.37,55.89,98.5,Steel Curtain,53.75,45.6,False,True,False,False,True,True,False,False,False
2042,8,Noah,Texas Tech,San Jose State,W,35,31,100.0,Detonation Machine,100.0,0.0,17.71,Wet Paper Bag,24.59,-0.89,True,False,False,False,False,False,True,False,False
2042,9,Devin,Bowling Green,Oklahoma,W,35,28,100.0,Detonation Machine,100.0,0.0,15.14,Wet Paper Bag,44.73,-3.91,True,False,False,False,False,False,False,False,False
2042,9,Doug,Florida,Alabama,W,31,20,73.28,Strike Force,82.03,-7.58,58.58,Bend Don’t Break,30.3,26.27,False,False,True,False,False,False,False,False,False
2042,9,Josh,USF,Michigan State,W,56,19,100.0,Detonation Machine,100.0,0.0,49.38,Leaky,32.87,12.59,True,False,True,False,False,False,False,False,False
2042,9,Mike,San Jose State,Nebraska,L,37,52,71.74,Strike Force,85.06,-14.58,0.0,Wet Paper Bag,13.9,0.0,False,False,False,False,False,False,True,True,True
2042,9,Noah,Texas Tech,Ohio State,W,49,35,100.0,Detonation Machine,100.0,0.0,10.39,Wet Paper Bag,15.57,-7.32,True,True,True,False,False,False,True,True,False
2042,10,Devin,Bowling Green,Georgia,W,42,17,100.0,Detonation Machine,100.0,0.0,40.37,Wet Paper Bag,24.85,25.23,True,False,True,False,False,False,False,False,False
2042,10,Doug,Florida,Iowa,W,42,3,100.0,Detonation Machine,84.71,26.72,100.0,Steel Curtain,63.63,41.42,False,True,True,False,True,True,False,False,False
2042,10,Josh,USF,Texas Tech,L,21,42,71.67,Strike Force,90.56,-28.33,0.0,Wet Paper Bag,28.72,-49.38,False,False,False,False,False,False,True,True,False
2042,10,Mike,San Jose State,Michigan,W,30,27,68.5,Strike Force,75.52,-3.24,40.26,Wet Paper Bag,13.42,40.26,False,False,False,False,False,False,False,False,False
2042,10,Nick,Florida State,Ole Miss,W,56,17,98.57,Detonation Machine,80.89,-1.43,38.84,Wet Paper Bag,63.41,-59.66,True,False,False,False,False,False,False,False,False
2042,10,Noah,Texas Tech,USF,W,42,21,100.0,Detonation Machine,100.0,0.0,30.1,Wet Paper Bag,19.4,19.71,True,True,False,False,False,False,False,False,False
2042,11,Doug,Florida,LSU,W,48,17,99.76,Detonation Machine,91.01,-0.24,57.3,Bend Don’t Break,71.96,-42.7,True,False,True,False,False,False,False,False,False
2042,11,Josh,USF,Minnesota,W,49,10,100.0,Detonation Machine,90.56,28.33,93.27,Steel Curtain,47.55,93.27,False,False,True,False,True,True,False,False,False
2042,11,Mike,San Jose State,Wisconsin,W,66,9,100.0,Detonation Machine,80.08,31.5,96.56,Steel Curtain,45.61,56.3,True,True,True,False,True,True,False,False,False
2042,11,Noah,Texas Tech,Iowa,W,63,21,100.0,Detonation Machine,100.0,0.0,32.59,Wet Paper Bag,24.36,2.49,True,True,True,False,False,False,False,False,False
2042,12,Doug,Florida,Wyoming,W,34,21,75.09,Missile Battery,91.62,-24.67,65.6,Vice Grip,74.3,8.3,False,False,False,False,False,False,False,False,False
2042,12,Nick,Florida State,Kentucky,W,77,31,100.0,Detonation Machine,99.52,1.43,40.86,Wet Paper Bag,59.4,2.02,True,True,False,False,False,False,True,False,False
2042,12,Noah,Texas Tech,Wisconsin,W,59,54,100.0,Detonation Machine,100.0,0.0,0.26,Wet Paper Bag,20.98,-32.33,True,True,False,False,False,False,True,True,False
2042,13,Devin,Bowling Green,Florida State,W,38,35,100.0,Detonation Machine,100.0,0.0,0.0,Wet Paper Bag,18.5,-40.37,True,False,True,False,False,False,True,False,True
2042,13,Josh,USF,Maryland,W,90,10,100.0,Detonation Machine,90.56,0.0,99.41,Steel Curtain,64.23,6.14,True,True,True,False,True,True,False,False,False
2042,13,Nick,Florida State,Bowling Green,L,35,38,100.0,Detonation Machine,99.52,0.0,0.0,Wet Paper Bag,26.57,-40.86,True,False,True,False,False,False,True,False,True
2042,14,Doug,Florida,Florida State,L,24,28,55.57,Capable,76.81,-19.52,37.8,Wet Paper Bag,53.57,-27.8,False,False,False,False,False,False,False,False,False
2042,14,Josh,USF,Penn State,W,52,35,98.16,Detonation Machine,99.39,-1.84,34.68,Wet Paper Bag,75.79,-64.73,True,True,False,False,False,False,True,True,False
2042,14,Mike,San Jose State,Michigan State,W,50,33,100.0,Detonation Machine,89.5,0.0,28.2,Wet Paper Bag,55.01,-68.36,True,True,False,False,False,False,True,True,False
2042,14,Nick,Florida State,Florida,W,28,24,65.37,Strike Force,88.46,-34.63,44.25,Wet Paper Bag,28.37,44.25,False,False,False,False,False,False,False,False,False
